epoch,precision,recall,ndcg,mrr
0,0.0002376304845964521,0.00030214072416005175,0.00030077681070622003,0.0008581410195255927
10,0.018910718832215907,0.035775247881470684,0.03329158233255926,0.07058252264698674
20,0.02650216413477043,0.056002092666474136,0.050688923840643524,0.0972946326703734
30,0.029818382415344142,0.06474306624574935,0.05826436052066167,0.10751120881167349
40,0.03101926504285835,0.06818685880278873,0.061713894570301284,0.11333191508730057
50,0.031829754731392705,0.07061984567118931,0.06362689670050077,0.11624659247001731
60,0.0323559365187134,0.07195760393526436,0.06479413552755878,0.11741855462094339
70,0.03272511245014002,0.07317384072321349,0.0656132231336599,0.11869022379939759
80,0.03291606551811932,0.07406054903734731,0.06627707501702998,0.11914791953855387
90,0.03302851565815158,0.0742865043948343,0.06638827543038738,0.1194916876096868
100,0.033123992192141224,0.07467718235956666,0.06678546267842213,0.12078018951859414
110,0.03329372825256726,0.07493434444573609,0.06697100377730449,0.1207703281021065
120,0.03338283968429091,0.07501290432868243,0.0672360212840373,0.12176271649089282
130,0.03346558601374863,0.07513811644912137,0.06737473140917606,0.12190742674899514
140,0.033495289824323156,0.07548758236648562,0.0674855426918988,0.12210476203265276
150,0.033592888059068154,0.07561885230039433,0.06754242690486996,0.12216740053696341
160,0.03378384112704744,0.07602153954186366,0.0679979399183375,0.12303276688169694
170,0.03373928541118563,0.07571776148051101,0.06784498218768593,0.12272878049465845
180,0.033760502418738854,0.07581036977531608,0.06776618375225735,0.12258459609538559
190,0.033754137316472865,0.07616728057151068,0.06785760720382707,0.12250110426668404
200,0.03382839684290928,0.07620922061369587,0.06795399565005783,0.12284031257441587
210,0.033758380717983545,0.07580304168050189,0.06769687837136498,0.12287221063947594
220,0.033849613850462534,0.0758226116437599,0.06788555319786993,0.12358760010170623
230,0.033976915895782056,0.07630571969941882,0.06807731220313522,0.12344912817967676
240,0.033925995077654245,0.0760143276781416,0.06802206937451107,0.12353795321876168
250,0.03399601120257995,0.07628875678629898,0.06805521144731873,0.12337541820569894
260,0.033898412967835016,0.07598980371358736,0.06789925354437397,0.12313256023877452
270,0.03413392175167614,0.076547332808011,0.06808146729664807,0.12340528869759959
280,0.033962063990494784,0.07635478367507949,0.06798490447063468,0.12357553943710334
290,0.03420605957735723,0.07666541740524342,0.06821747620637024,0.12308450637839237
300,0.03413180005092083,0.07639119538875801,0.06824865401510712,0.12386603811542136
310,0.034038445217686494,0.07672712394720323,0.06817685251572052,0.12331046524725513
320,0.034083000933548366,0.07658023619503905,0.06822659019495614,0.12407757333847753
330,0.034002376304846,0.07649926660340246,0.06803000831323311,0.12348185376309538
340,0.03425910209624035,0.07685191958444199,0.06840246348286924,0.12335250279021898
350,0.03418484256980398,0.07684867101038528,0.06843272413383615,0.12400170422236738
360,0.03411906984638888,0.07675575623019229,0.06844431565656474,0.12412476009493502
370,0.034208181278112544,0.07688305159032166,0.0686157199703429,0.12470540166415836
380,0.03426334549775102,0.07687144124394339,0.06842551928945621,0.12367241908315565
390,0.034439446660443004,0.07744024440130834,0.06881837557108124,0.12406995830089199
400,0.03435882203174064,0.07752773776456702,0.06866405373727223,0.12374443101960496
410,0.03426546719850632,0.07722909841371423,0.06871188287747937,0.12484592645432835
420,0.03411270474412288,0.07700334052790009,0.06848702970482426,0.12444583654704382
430,0.034112704744122896,0.07704099822931415,0.06843300650447658,0.12358510307376297
440,0.03414877365696343,0.07706657246614765,0.06851551097458596,0.12332528912095382
450,0.03416574726300604,0.07708237071971755,0.06853294600469977,0.12401803177667763
460,0.03412331324789952,0.07687572824221818,0.06831284667143342,0.12287956544397005
470,0.03431426631587879,0.07709548036870527,0.06863444465313179,0.12414553862096848
480,0.034265467198506316,0.0769646939804824,0.06854641440472059,0.12409174774756827
490,0.03427607570228296,0.07686806782842127,0.06821977744410779,0.12303871792830122
500,0.034216668081133814,0.07679441146359105,0.06835478994392268,0.12369980799701528
510,0.03420818127811255,0.07693607944547312,0.06842254552078869,0.12406699461857149
520,0.03407239242977171,0.07692098867306783,0.0684852043759044,0.12444382816076043
530,0.034273954001527634,0.07728532598743344,0.06839182570615443,0.12318002141300262
540,0.03425910209624036,0.077123900134415,0.06835107449247223,0.12329100348514205
550,0.03425273699397436,0.0769960525784057,0.068763601436946,0.12510188181168824
560,0.034104217941101606,0.07666485154866162,0.06839344187252737,0.12414254043621206
570,0.03411058304336757,0.07678426924721297,0.06825388555812763,0.12326103717588652
580,0.03427183230077232,0.07718800998414348,0.06875355189677912,0.12467375848420297
590,0.03414877365696345,0.07728756772307545,0.0687738279131874,0.12438471847292118
600,0.03411906984638888,0.07689232506693745,0.06837464815479795,0.12383834352051577
610,0.03406602732750573,0.07686682321493485,0.06844983716776974,0.1239200456199339
620,0.03415089535771875,0.07676484954162412,0.06849406645083178,0.12430864622080308
630,0.03410846134261223,0.07680889410731283,0.0684656745693819,0.12416754796507723
640,0.03415301705847407,0.07688613911633892,0.06839264200444102,0.12346823876831223
650,0.03429729270983623,0.0772671180006521,0.06831606152929835,0.12255369317313974
660,0.03418908597131462,0.07701196043532366,0.06839995617185463,0.1235940865015073
670,0.03426971060001696,0.07714019373073516,0.06826806612268142,0.12292162175857015
680,0.03431850971738947,0.07733381652779397,0.06859569396249275,0.12355118247383239
690,0.034433081558177044,0.0774269939730611,0.06887426406250598,0.12459880702552323
700,0.034273954001527614,0.07732331860858734,0.06857761027510445,0.12379125684700648
710,0.034229398285665805,0.07715352333497857,0.0686010715469194,0.124347537537895
