epoch,precision,recall,ndcg,mrr
0,0.0002889352027283062,0.0005239388798483326,0.00046471697161126887,0.0012182179860796758
10,0.01884394341290893,0.04136392945832667,0.033194710330811374,0.06953716338551102
20,0.02111911077428319,0.04662290162906449,0.03781005091753492,0.08032338822183513
30,0.022739042566628766,0.050706905955504984,0.04087604274410745,0.08602667277146792
40,0.02408740684602754,0.05416994495220275,0.04359653018016466,0.09126253409858572
50,0.024898951623089548,0.055957503013227404,0.045135458863918204,0.0942014588974976
60,0.025497347480106097,0.057396348291943615,0.046285596307983734,0.09603167403193388
70,0.025855753441960342,0.05830032882954039,0.04697239663803806,0.09734910318391002
80,0.026064165719338138,0.05873195244734795,0.0474693518891759,0.09872977104632728
90,0.02645730706075535,0.05953978715777105,0.04835641481557384,0.10074406513921712
100,0.02659940634078565,0.05973164021509266,0.04861693050597293,0.10175678669109912
110,0.026836238474169515,0.059969093773436365,0.048946221329296415,0.10231044557224504
120,0.02691676139952002,0.060236271410377885,0.049145028069121084,0.10293887052233294
130,0.027060439560439548,0.06085399332530022,0.04954401689779972,0.10321970965160837
140,0.02737463685739548,0.06136954922617848,0.04995851545021382,0.10394150385561733
150,0.02746463306808134,0.06140347507379393,0.04995919646493114,0.10379899000437247
160,0.02761620563344702,0.06152311445479567,0.050305520987717074,0.10484100435538492
170,0.027668308702791463,0.06186230829585767,0.050294223220968576,0.10435970905385393
180,0.027510420613868866,0.06140641533408907,0.050226284881819926,0.10483928515212641
190,0.02776619931792346,0.06198255132553852,0.050536347178075314,0.1048750325732397
200,0.027774093722369594,0.06191182277015251,0.050483387483267,0.10470267215799961
210,0.027560944802324086,0.06143231160457285,0.050207884422801524,0.1044427435078483
220,0.027793040293040305,0.06188901457814178,0.050364987697946624,0.10414516464525292
230,0.027815144625489455,0.062086702052347086,0.050339651557576214,0.10358382352042214
240,0.027826196791714025,0.062049644452149166,0.05057018862747264,0.10481905637389974
250,0.02777567260325881,0.06178696720198975,0.050548223503115296,0.10502068038522956
260,0.027777251484148023,0.06194949561539973,0.050559683243266734,0.10473781683889033
270,0.027889352027283078,0.06200384104358773,0.05054609572264542,0.10449553930673565
280,0.0277993558165972,0.06169709677013086,0.050518672643258204,0.1049446027244665
290,0.02786408993305543,0.06207185177997652,0.050731199232664816,0.10533443787831848
300,0.027919350764178338,0.062292000888622134,0.05068964019373585,0.1048360757655326
310,0.0278561955286093,0.06197727100269295,0.05049362588673165,0.10449483296420006
320,0.027800934697486433,0.0619105218575771,0.05051953075722279,0.10470283075405758
330,0.02790198307439685,0.06206482641344484,0.05059999508883367,0.10482393372118982
340,0.0279335606921814,0.06206557010265623,0.05071673819686588,0.10507753226057458
350,0.027848301124163206,0.06195201335596196,0.0506173606218426,0.10486736987357803
360,0.027971453833522814,0.06207642456994953,0.050609139953318,0.10426381890309862
370,0.027954086143741338,0.06199929438033072,0.05063767544544044,0.10453261774201796
380,0.02798408488063662,0.06221531918786712,0.05077215159655622,0.10483482188338088
390,0.028009346974864225,0.062231912808656566,0.050793108407733836,0.10505050662604522
400,0.027998294808639634,0.062388128345521335,0.05079329579254583,0.10502082171355698
410,0.028056713401540975,0.062529898157733,0.05078302923927656,0.10435912623041245
420,0.02804724011620562,0.06229804336766526,0.05081283789749812,0.10473141104413856
430,0.028003031451307323,0.0623048393921224,0.05088999617369281,0.10547742446174524
440,0.02817197170645447,0.06255999376842637,0.05107362173655761,0.10569070347406831
450,0.0281309208033346,0.06254971491812647,0.051036513944921764,0.10573981628685299
460,0.028009346974864204,0.06233708871389185,0.05094617891888702,0.10553999737468168
470,0.028168813944675995,0.06262993461099843,0.05108897481258191,0.10555839563526123
480,0.02803776683087028,0.06219856459785855,0.050954622966868396,0.1054787447001147
490,0.028045661235316422,0.06210742898862831,0.05089179800283009,0.10542059992849935
500,0.028025135783756434,0.06220804112195588,0.050998601665231215,0.10569660206601682
510,0.027993558165971953,0.062103306640039956,0.05092570599105564,0.10552946758961974
520,0.02794145509662751,0.06208099401883688,0.050981466134521425,0.1060559013000078
530,0.02800618921308578,0.0622131282379446,0.05105970212731668,0.10623790254853076
540,0.028138815207780717,0.06263607752570576,0.051187764716715,0.10583839325543962
550,0.02822881141846658,0.06273170418445345,0.05119130807205937,0.10571870125907158
560,0.02808829101932549,0.06229206015162417,0.05112022492038556,0.10628025134393654
570,0.028135657446002264,0.06256329172618705,0.05116006944713193,0.10597239607827187
580,0.02800461033219654,0.06230308535838773,0.05106366279627524,0.10604255669325852
590,0.028118289756220764,0.06253728521986851,0.051105509798140485,0.10575384962847605
600,0.02806618668687633,0.06202398393114061,0.05091434792193096,0.10552136938379576
610,0.02821460149046356,0.06237487032086284,0.0510672479548643,0.10543948527570003
620,0.02810092206643931,0.06223783662865585,0.05107523651496762,0.10604297373609754
630,0.028055134520651767,0.061949276733700244,0.051056273982593006,0.10626720019609284
640,0.028069344448654783,0.062112729658140874,0.05102062891731895,0.10595851166066683
650,0.028067765567765565,0.06219257679864396,0.05120847642858801,0.10677076636812817
660,0.028119868637110013,0.0624000174679526,0.0512536111450289,0.10641470521170429
670,0.02826354679802955,0.06276409998163561,0.05140612554686,0.10652876512155915
680,0.0281309208033346,0.062477080099921416,0.05116070864382698,0.1061224273273427
690,0.0280519767588733,0.062179544546171084,0.05109216186799179,0.10614783380276965
700,0.02809934318555008,0.06231425975350972,0.05117500700849915,0.10620165925344657
710,0.0281182897562208,0.06247008892027803,0.05116759445289971,0.10569253349565437
